Institution Name,Total price for in-state students living off campus (with family)  2021-22 (DRVIC2021)
Big Sandy Community and Technical College,8634
Binghamton University,13585
Biola University,49298
Birmingham-Southern College,25790
Bishop State Community College,9560
Bismarck State College,9426
Black Hawk College,13736
Black Hills State University,14700
Black River Technical College,11337
Blackburn College,30930
Blackfeet Community College,11405
Blackhawk Technical College,10268
Bladen Community College,8958
Blinn College,12898
Bloomfield College,34543
Bloomsburg University of Pennsylvania,18492
Blue Mountain College,22720
Blue Mountain Community College,10568
Blue Ridge Community and Technical College,8596
Blue Ridge Community College,14120
Blue Ridge Community College,9042
Bluefield State College,13571
Bluefield University,33180
Bluegrass Community and Technical College,8714
Bluffton University,40492
Bnos Zion Of Bobov Seminary,14200
Bob Jones University,25350
Boise Bible College,20570
Boise State University,13522
Bolivar Technical College,25895
Boricua College,15050
Bossier Parish Community College,10834
Boston Architectural College,26544
Boston Baptist College,17783
Boston College,66856
Boston University,64616
Bowdoin College,
Bowie State University,12658
Bowling Green State University-Firelands,11044
Bowling Green State University-Main Campus,18849
Bradley University,43410
Brandeis University,64306
Brazosport College,8531
Brenau University,38140
Brescia University,32050
Brevard College,33250
Brewton-Parker College,31221
Briar Cliff University,42240
BridgeValley Community & Technical College,9720
Bridgewater College,42670
Bridgewater State University,15332
Brigham Young University,12098
Brigham Young University-Hawaii,13833
Brigham Young University-Idaho,8428
Brightpoint Community College,10500
Bristol Community College,10058
Broadview College,21159
Brookdale Community College,15644
Brookline College-Albuquerque,
Brookline College-Phoenix,
Broward College,13984
Brown University,
Brunswick Community College,9900
Bryan College of Health Sciences,23646
Bryan College-Dayton,21310
Bryan University,16745
Bryan University,20366
Bryant & Stratton College-Albany,21636
Bryant & Stratton College-Buffalo,20858
Bryant & Stratton College-Greece,21745
Bryant & Stratton College-Online,17894
Bryant & Stratton College-Parma,22492
Bryant & Stratton College-Syracuse North,21450
Bryant & Stratton College-Virginia Beach,21390
Bryant & Stratton College-Wauwatosa,22627
Bryant University,52682
Bryn Athyn College of the New Church,31785
Bryn Mawr College,
Bucknell University,62866
Bucks County Community College,15118
Buena Vista University,43092
Bunker Hill Community College,11502
Bushnell University,36070
Butler Community College,7576
Butler County Community College,11350
Butler University,47860
Butte College,6480
Cabarrus College of Health Sciences,21370
Cabrillo College,8228
Cabrini University,39295
Cairn University-Langhorne,34142
Caldwell Community College and Technical Institute,8937
Caldwell University,43700
California Aeronautical University,34531
California Baptist University,42500
California Christian College,18505
California College of the Arts,58212
California Institute of Technology,64383
California Institute of the Arts,63792
California Intercontinental University,21267
California Jazz Conservatory,27300
California Lutheran University,51512
California Miramar University,16511
California Polytechnic State University-San Luis Obispo,13348
California State Polytechnic University-Humboldt,12278
California State Polytechnic University-Pomona,12492
California State University Maritime Academy,16812
California State University-Bakersfield,12813
California State University-Channel Islands,12341
California State University-Chico,12414
California State University-Dominguez Hills,12206
California State University-East Bay,12155
California State University-Fresno,11504
California State University-Fullerton,12215
California State University-Long Beach,11368
California State University-Los Angeles,12269
California State University-Monterey Bay,12038
California State University-Northridge,12429
California State University-Sacramento,12576
California State University-San Bernardino,12406
California State University-San Marcos,12209
California State University-Stanislaus,12660
California University of Pennsylvania,18742
Calumet College of Saint Joseph,24320
Calvary University,17068
Calvin University,42540
Cambridge College,20442
Camden County College,8630
Cameron University,10612
Campbell University,43075
Campbellsville University,33784
Canada College,8031
Canisius College,33410
Cankdeska Cikana Community College,8550
Cape Cod Community College,13000
Cape Fear Community College,10412
Capella University,15572
Capital Community College,12912
Capital University,46524
Capitol Technology University,32374
Cardinal Stritch University,40994
Career Networks Institute,
Caribbean University-Bayamon,8516
Caribbean University-Carolina,8508
Caribbean University-Ponce,8508
Caribbean University-Vega Baja,8508
Carl Albert State College,9643
Carl Sandburg College,11658
Carleton College,
Carlow University,35872
Carnegie Mellon University,61324
Carolina Christian College,26000
Carolina College of Biblical Studies,8028
Carolina University,17500
Carolinas College of Health Sciences,25084
Carroll College,42074
Carroll Community College,10298
Carroll University,40202
Carson-Newman University,36154
Carteret Community College,13991
Carthage College,36600
Carver Career Center,
Casa Loma College-Van Nuys,
Cascadia College,9204
Case Western Reserve University,59902
Casper College,6910
Castleton University,16418
Catawba College,37214
Catawba Valley Community College,13419
Catholic Distance University,11105
Cayuga County Community College,10092
Cazenovia College,39268
CBD College,
Cecil College,15170
Cedar Crest College,47591
Cedarville University,37264
CEM College-Bayamon,16821
CEM College-Humacao,16821
CEM College-Mayaguez,16821
CEM College-San Juan,16821
Centenary College of Louisiana,44160
Centenary University,40012
Centra College,22313
Central Alabama Community College,10290
Central Arizona College,6980
Central Baptist College,21684
Central Carolina Community College,10641
Central Carolina Technical College,11670
Central Christian College of Kansas,24695
Central Christian College of the Bible,20398
Central College,23750
Central Community College,9810
Central Connecticut State University,16118
Central Georgia Technical College,6907
Central Lakes College-Brainerd,13608
Central Louisiana Technical Community College,9238
Central Maine Community College,9384
Central Methodist University-College of Graduate and Extended Studies,15182
Central Methodist University-College of Liberal Arts and Sciences,34332
Central Michigan University,16700
Central New Mexico Community College,6914
Central Ohio Technical College,10680
Central Oregon Community College,11473
Central Penn College,21514
Central Pennsylvania Institute of Science and Technology,
Central Piedmont Community College,11305
Central State University,10862
Central Texas College,8497
Central Virginia Community College,9406
Central Washington University,12507
Central Wyoming College,8380
Central Yeshiva Beth Joseph,16800
Central Yeshiva Tomchei Tmimim Lubavitz,13500
Centralia College,8985
Centre College,49020
Centura College-Chesapeake,25108
Centura College-Virginia Beach,25108
Century College,12501
Cerritos College,6748
Cerro Coso Community College,6784
Chabot College,7009
Chadron State College,11990
Chaffey College,6584
Chamberlain University-Arizona,28050
Chamberlain University-California,28050
Chamberlain University-Florida,27537
Chamberlain University-Georgia,27537
Chamberlain University-Illinois,28318
Chamberlain University-Indiana,27537
Chamberlain University-Louisiana,27537
Chamberlain University-Michigan,27537
Chamberlain University-Missouri,27537
Chamberlain University-Nevada,28050
Chamberlain University-New Jersey,28050
Chamberlain University-North Carolina,27537
Chamberlain University-Ohio,27537
Chamberlain University-Texas,27537
Chamberlain University-Virginia,28050
Chaminade University of Honolulu,31632
Champion Christian College,11304
Champlain College,46280
Chandler-Gilbert Community College,14010
Chapman University,64804
Charles R Drew University of Medicine and Science,20840
Charleston Southern University,33830
Charlotte Christian College and Theological Seminary,15209
Charter College,25515
Charter Oak State College,13986
Chatfield College,17361
Chatham University,45377
Chattahoochee Technical College,8666
Chattahoochee Valley Community College,6736
Chattanooga State Community College,10130
Chemeketa Community College,11361
Chesapeake College,10902
Chestnut Hill College,46344
Cheyney University of Pennsylvania,14086
Chicago School of Professional Psychology-College of Nursing,
Chicago State University,17455
Chief Dull Knife College,7260
Chipola College,8268
Chippewa Valley Technical College,10268
Chowan University,28570
Christ Mission College,14470
Christian Brothers University,39298
Christopher Newport University,20592
Cincinnati State Technical and Community College,11880
Cisco College,12111
Citadel Military College of South Carolina,29044
Citrus College,6596
City College of San Francisco,6982
City College-Altamonte Springs,20320
City College-Fort Lauderdale,20320
City College-Gainesville,20320
City College-Hollywood,20320
City College-Miami,20320
City Colleges of Chicago-Harold Washington College,14850
City Colleges of Chicago-Harry S Truman College,14850
City Colleges of Chicago-Kennedy-King College,14832
City Colleges of Chicago-Malcolm X College,14850
City Colleges of Chicago-Olive-Harvey College,14850
City Colleges of Chicago-Richard J Daley College,14850
City Colleges of Chicago-Wilbur Wright College,14850
City Vision University,6984
Clackamas Community College,10020
Claflin University,28446
Claremont McKenna College,69721
Clarendon College,16418
Clarion University of Pennsylvania,17273
Clark Atlanta University,29224
Clark College,8429
Clark State College,7760
Clark University,52152
Clarke University,41841
Clarks Summit University,30113
Clarkson College,18690
Clarkson University,59142
Clatsop Community College,13794
Clayton  State University,10207
Clear Creek Baptist Bible College,15723
Cleary University,25884
Clemson University,23574
Cleveland Community College,4702
Cleveland Institute of Art,52845
Cleveland Institute of Music,45204
Cleveland State Community College,9422
Cleveland State University,15960
Cleveland University-Kansas City,21038
Clinton College,11720
Clinton Community College,10568
Cloud County Community College,9646
Clover Park Technical College,9970
Clovis Community College,4823
Clovis Community College,7688
Coahoma Community College,6403
Coastal Alabama Community College,10767
Coastal Bend College,8727
Coastal Carolina Community College,9849
Coastal Carolina University,17092
Coastal Pines Technical College,5909
Coastline Community College,5976
Cochise County Community College District,7410
Coconino Community College,9291
Coe College,52492
Coffeyville Community College,6740
Coker University,34972
Colby College,62920
Colby Community College,8025
Colby-Sawyer College,49254
Colegio Universitario de San Juan,4810
Colgate University,
College for Creative Studies,52497
College of Alameda,9668
College of Biblical Studies-Houston,10024
College of Central Florida,7814
College of Charleston,18194
College of Coastal Georgia,11601
College of DuPage,15550
College of Eastern Idaho,9815
College of Lake County,15176
College of Marin,11444
College of Menominee Nation,10425
College of Micronesia-FSM,9350
College of Mount Saint Vincent,44380
College of Our Lady of the Elms,43865
College of Saint Benedict,53026
College of Saint Mary,27279
College of San Mateo,8343
College of Southern Idaho,9998
College of Southern Maryland,12837
College of Southern Nevada,9994
College of Staten Island CUNY,13112
College of the Albemarle,7822
College of the Atlantic,45222
College of the Canyons,5547
College of the Desert,6728
College of the Holy Cross,64440
College of the Mainland,7445
College of the Marshall Islands,7710
College of the Muscogee Nation,15350
College of the Ozarks,24840
College of the Redwoods,6257
College of the Sequoias,6994
College of the Siskiyous,6799
College of Western Idaho,9500
College Unbound,10828
Collin County Community College District,10994
Colorado Christian University,37322
Colorado College,64664
Colorado Mesa University,13518
Colorado Mountain College,7276
Colorado Northwestern Community College,11747
Colorado School of Mines,23543
Colorado State University Pueblo,16221
Colorado State University-Fort Collins,15330
Colorado State University-Global Campus,10376
Colorado Technical University-Colorado Springs,15279
Columbia Basin College,10835
Columbia Central University-Caguas,11066
Columbia College,27478
Columbia College,28864
Columbia College,6632
Columbia College Chicago,32360
Columbia College Hollywood,31890
Columbia Gorge Community College,9762
Columbia International University,30700
Columbia Southern University,11585
Columbia State Community College,9890
Columbia University in the City of New York,68067
Columbia-Greene Community College,9916
Columbus College of Art and Design,42588
Columbus State Community College,8872
Columbus State University,11711
Columbus Technical College,7792
Commonwealth Institute of Funeral Service,18187
Commonwealth Technical Institute,13532
Community Care College,
Community Christian College,14733
Community College of Allegheny County,14673
Community College of Aurora,11545
Community College of Baltimore County,12582
Community College of Beaver County,15582
Community College of Denver,12388
Community College of Philadelphia,18634
Community College of Rhode Island,10680
Community College of Vermont,13752
Compass College of Film and Media,25480
Compton College,6542
Conception Seminary College,
Concord University,12734
Concorde Career College-Kansas City,
Concordia College at Moorhead,31886
Concordia University Ann Arbor,41480
Concordia University Texas,38606
Concordia University-Chicago,37210
Concordia University-Irvine,44240
Concordia University-Nebraska,39075
Concordia University-Saint Paul,27900
Concordia University-Wisconsin,40952
Congregation Talmidei Mesivta Tiferes Shmiel Aleksander,24950
Connecticut College,62795
Connors State College,11451
Conservatory of Music of Puerto Rico,7920
Contra Costa College,7180
Converse University,26400
Cooper Union for the Advancement of Science and Art,51236
Copiah-Lincoln Community College,8030
Copper Mountain Community College,5515
Coppin State University,11295
Corban University,47756
Cornell College,52179
Cornell University,65591
Cornerstone University,30700
Cornish College of the Arts,40086
Cossatot Community College of the University of Arkansas,8737
Cosumnes River College,6686
Cottey College,26867
County College of Morris,15430
Covenant College,39810
Cowley County Community College,9750
Cox College,15628
Crafton Hills College,5579
Craven Community College,7291
Creighton University,48324
Criswell College,17400
Crowder College,10498
Crowley's Ridge College,18650
Crown College,35804
Cuesta College,7863
Culinary Institute of America,39776
Culver-Stockton College,34905
Cumberland University,39942
CUNY Bernard M Baruch College,13086
CUNY Borough of Manhattan Community College,10792
CUNY Bronx Community College,10828
CUNY Brooklyn College,13062
CUNY City College,12962
CUNY Graduate School and University Center,13032
CUNY Hostos Community College,10830
CUNY Hunter College,13004
CUNY John Jay College of Criminal Justice,13092
CUNY Kingsborough Community College,11509
CUNY LaGuardia Community College,11627
CUNY Lehman College,13032
CUNY Medgar Evers College,12974
CUNY New York City College of Technology,12942
CUNY Queens College,13160
CUNY Queensborough Community College,10832
CUNY Stella and Charles Guttman Community College,11603
CUNY York College,12980
Curry College,47400
Curtis Institute of Music,16965
Cuyahoga Community College District,8012
Cuyamaca College,8165
Cypress College,7898
D'Youville College,34308
Dabney S Lancaster Community College,10910
Daemen University,33750
Dakota College at Bottineau,9573
Dakota County Technical College,12820
Dakota State University,15843
Dakota Wesleyan University,35580
Dallas Baptist University,40343
Dallas Christian College,24236
Dallas College,7901
Dallas Institute of Funeral Service,15916
Dalton State College,9316
Danville Area Community College,12153
Danville Community College,11125
Dartmouth College,
Davenport University,27940
Davidson College,
Davidson-Davie Community College,7948
Davis & Elkins College,35260
Davis College,22030
Dawson Community College,10195
Daytona College,
Daytona State College,7230
De Anza College,8081
Dean College,45346
Defiance College,39804
Del Mar College,10888
Delaware College of Art and Design,34220
Delaware County Community College,15400
Delaware State University,16246
Delaware Technical Community College-Terry,10185
Delaware Valley University,47620
Delgado Community College,8802
Delta College,12138
Delta State University,13860
Denison University,60000
Denmark Technical College,13982
DePaul University,47886
DePauw University,57196
Des Moines Area Community College,9928
DeSales University,48312
Design Institute of San Diego,31013
DeVry College of New York,25440
DeVry University-Arizona,25440
DeVry University-California,25440
DeVry University-Colorado,25440
DeVry University-Florida,25440
DeVry University-Georgia,25440
DeVry University-Illinois,25440
DeVry University-Missouri,25440
DeVry University-Nevada,25440
DeVry University-New Jersey,25440
DeVry University-North Carolina,25440
DeVry University-Ohio,25440
DeVry University-Pennsylvania,25440
DeVry University-Tennessee,25440
DeVry University-Texas,25440
DeVry University-Virginia,25440
Dewey University-Carolina,9395
Dewey University-Hato Rey,9452
Dewey University-Juana Díaz,9395
Dewey University-Manati,9995
Diablo Valley College,7180
Dickinson College,61748
Dickinson State University,12822
DigiPen Institute of Technology,39072
Digital Media Institute at InterTech,
Dillard University,25744
Dine College,10070
Divine Word College,17300
Dixie State University,13412
Doane University,
Dodge City Community College,9566
Dominican College of Blauvelt,36710
Dominican University,40642
Dominican University of California,53384
Donnelly College,17526
Dordt University,39650
Drake University,50837
Drew University,48834
Drexel University,60036
Drury University,37370
Drury University-College of Continuing Professional Studies,12324
Duke University,
Dunwoody College of Technology,27631
Duquesne University,48626
Durham Technical Community College,8178
Dutchess Community College,9629
Dyersburg State Community College,9360
Eagle Gate College-Boise Campus,23832
Eagle Gate College-Layton,23832
Eagle Gate College-Murray,23832
Earlham College,52673
East Arkansas Community College,10090
East Carolina University,19638
East Central College,12530
East Central Community College,8430
East Central University,13387
East Georgia State College,8794
East Los Angeles College,6638
East Mississippi Community College,8765
East Stroudsburg University of Pennsylvania,16161
East Tennessee State University,16308
East Texas Baptist University,32015
East-West University,25500
Eastern Arizona College,8058
Eastern Connecticut State University,16154
Eastern Florida State College,7686
