Institution Name,Total price for in-state students living off campus (with family)  2021-22 (DRVIC2021)
Greensboro College,21760
Greenville Technical College,9226
Greenville University,36592
Grinnell College,
Grossmont College,8157
Guam Community College,7264
Guilford College,43910
Guilford Technical Community College,11602
Gulf Coast State College,7434
Gupton Jones College of Funeral Service,16700
Gurnick Academy of Medical Arts,
Gustavus Adolphus College,52570
Gwinnett Technical College,17708
Gwynedd Mercy University,44963
H Councill Trenholm State Community College,10770
Hacienda La Puente Adult Education,
Hagerstown Community College,10794
Halifax Community College,9108
Hallmark University,
Hamilton College,
Hamline University,48111
Hampden-Sydney College,52954
Hampshire College,54638
Hampton University,33212
Hannibal-LaGrange University,30566
Hanover College,42950
Harcum College,36655
Hardin-Simmons University,37546
Harding University,26820
Harford Community College,12861
Harris-Stowe State University,13230
Harrisburg Area Community College,15359
Harrisburg University of Science and Technology,27300
Hartnell College,6800
Hartwick College,50914
Harvard University,
Harvey Mudd College,
Haskell Indian Nations University,8380
Hastings College,37684
Haven University,8560
Haverford College,64270
Hawaii Community College,9742
Hawaii Pacific University,33620
Hawkeye Community College,10441
Haywood Community College,9555
Hazard Community and Technical College,8634
HCI College,29982
Heartland Community College,14138
Hebrew Theological College,21196
Heidelberg University,36600
Helena College University of Montana,11644
Helene Fuld College of Nursing,30872
Hellenic College-Holy Cross Greek Orthodox School of Theology,27090
Helms College,17645
Henderson Community College,8634
Henderson State University,17953
Hendrix College,37350
Hennepin Technical College,11741
Henry Ford College,8473
Heritage Bible College,12728
Heritage Christian University,16223
Heritage University,23236
Herkimer County Community College,9680
Herzing University-Akron,16801
Herzing University-Atlanta,16801
Herzing University-Birmingham,16801
Herzing University-Brookfield,16801
Herzing University-Kenosha,16801
Herzing University-Madison,16801
Herzing University-Minneapolis,16801
Herzing University-New Orleans,16801
Herzing University-Orlando,16801
Herzing University-Tampa,16801
Hesston College,33440
Hibbing Community College,11098
High Point University,43252
Highland Community College,6620
Highland Community College,12588
Highlands College of Montana Tech,8080
Highline College,7299
Hilbert College,28330
Hill College,10460
Hillsborough Community College,8546
Hinds Community College,8246
Hiram College,31174
Hobart William Smith Colleges,62240
Hobe Sound Bible College,8798
Hocking College,9678
Hodges University,20580
Hofstra University,52840
Hollins University,44402
Holmes Community College,9910
Holy Apostles College and Seminary,11530
Holy Cross College,35850
Holy Family University,34172
Holy Names University,46304
Holyoke Community College,10358
Homestead Schools,
Honolulu Community College,7716
Hood College,47794
Hope College,40420
Hope International University,40850
Hopkinsville Community College,8634
Horizon University,15333
Horry-Georgetown Technical College,10056
Houghton College,20846
Housatonic Community College,13964
Houston Baptist University,42470
Houston Community College,13104
Howard College,9537
Howard Community College,12432
Howard Payne University,34328
Howard University,
Hudson County Community College,13490
Hudson Valley Community College,12464
Huertas College,12045
Hult International Business School,54250
Humacao Community College,9414
Humphreys University-Stockton and Modesto Campuses,19980
Huntingdon College,30268
Huntington University,35742
Huntington University of Health Sciences,20785
Huntsville Bible College,8805
Hussian College-Daymar College Clarksville,27639
Hussian College-Daymar College Murfreesboro,28018
Hussian College-Daymar College Nashville,28018
Hussian College-Los Angeles,46880
Hussian College-Philadelphia,29585
Husson University,23980
Huston-Tillotson University,17203
Hutchinson Community College,9328
Idaho State University,14802
IGlobal University,23102
Ilisagvik College,9440
Illinois Central College,15750
Illinois College,37882
Illinois Institute of Technology,56990
Illinois State University,21905
Illinois Valley Community College,18342
Illinois Wesleyan University,54312
Immaculata University,33990
Imperial Valley College,7651
Independence Community College,6794
Indian Bible College,8040
Indian Hills Community College,9576
Indian River State College,9034
Indiana Institute of Technology,34473
Indiana Institute of Technology-College of Professional Studies,16645
Indiana State University,13622
Indiana University of Pennsylvania-Main Campus,17324
Indiana University-Bloomington,16523
Indiana University-East,10395
Indiana University-Kokomo,10395
Indiana University-Northwest,12883
Indiana University-Purdue University-Indianapolis,15170
Indiana University-South Bend,10395
Indiana University-Southeast,10395
Indiana Wesleyan University-Marion,35828
Indiana Wesleyan University-National & Global,12771
Institute of American Indian and Alaska Native Culture and Arts Development,13321
Institute of Production and Recording,25699
Instituto Tecnologico de Puerto Rico-Recinto de Guayama,7965
Instituto Tecnologico de Puerto Rico-Recinto de Manati,5500
Instituto Tecnologico de Puerto Rico-Recinto de Ponce,4206
Instituto Tecnologico de Puerto Rico-Recinto de San Juan,7007
Integrity College of Health,
Inter American University of Puerto Rico-Aguadilla,13749
Inter American University of Puerto Rico-Arecibo,13787
Inter American University of Puerto Rico-Barranquitas,13749
Inter American University of Puerto Rico-Bayamon,13787
Inter American University of Puerto Rico-Fajardo,13787
Inter American University of Puerto Rico-Guayama,13787
Inter American University of Puerto Rico-Metro,13787
Inter American University of Puerto Rico-Ponce,13787
Inter American University of Puerto Rico-San German,13787
Interior Designers Institute,27331
International Baptist College and Seminary,18805
Inver Hills Community College,13341
Iona College,46678
Iowa Central Community College,10389
Iowa Lakes Community College,12423
Iowa State University,13064
Iowa Wesleyan University,36450
Iowa Western Community College,11637
Irvine Valley College,6267
Isothermal Community College,7714
Itasca Community College,12440
Itawamba Community College,9460
Ithaca College,51333
Ivy Tech Community College,9879
J F Ingram State Technical College,
J Sargeant Reynolds Community College,8998
J. F. Drake State Community and Technical College,9230
Jackson College,10692
Jackson State Community College,10538
Jackson State University,15260
Jacksonville College-Main Campus,9470
Jacksonville State University,17128
Jacksonville University,46930
James A. Rhodes State College,9128
James Madison University,17738
James Sprunt Community College,8470
Jamestown Business College,18065
Jamestown Community College,13250
Jarvis Christian University,15720
Jefferson College,11860
Jefferson Community and Technical College,8714
Jefferson Community College,12638
Jefferson State Community College,11231
Jewish Theological Seminary of America,68064
John A Gupton College,15383
John A Logan College,12596
John Brown University,32574
John C Calhoun State Community College,10790
John Carroll University,51264
John Patrick University of Health and Applied Sciences,19978
John Paul the Great Catholic University,43261
John Wood Community College,12590
Johns Hopkins University,61177
Johnson & Wales University-Charlotte,40132
Johnson & Wales University-Online,17223
Johnson & Wales University-Providence,40182
Johnson C Smith University,24744
Johnson College,24125
Johnson County Community College,14372
Johnson University,23729
Johnson University Florida,23757
Johnston Community College,9959
Joliet Junior College,16470
Jones County Junior College,10110
Jones Technical Institute,19868
Jose Maria Vargas University,16220
Judson University,33590
Juniata College,55326
Kalamazoo College,58260
Kalamazoo Valley Community College,10516
Kankakee Community College,17504
Kansas Christian College,15770
Kansas City Art Institute,44575
Kansas City Kansas Community College,14092
Kansas State University,15420
Kansas Wesleyan University,35580
Kapiolani Community College,7376
Kaskaskia College,11975
Kauai Community College,9958
Kean University,17175
Keene State College,16888
Kehilath Yakov Rabbinical Seminary,13825
Keiser University-Ft Lauderdale,33248
Kellogg Community College,11940
Kennebec Valley Community College,10995
Kennesaw State University,14306
Kent State University at Ashtabula,12226
Kent State University at East Liverpool,12226
Kent State University at Geauga,12226
Kent State University at Kent,17924
Kent State University at Salem,12226
Kent State University at Stark,12226
Kent State University at Trumbull,12226
Kent State University at Tuscarawas,12226
Kentucky Christian University,32254
Kentucky Mountain Bible College,11010
Kentucky State University,14932
Kentucky Wesleyan College,32458
Kenyon College,
Keser Torah-Mayan Hatalmud,16860
Kettering College,21665
Kettering University,49680
Keuka College,43560
Keweenaw Bay Ojibwa Community College,9216
Keystone College,20900
Kilgore College,12568
King University,39898
King's College,48426
Kirkwood Community College,9741
Kirtland Community College,12230
Kishwaukee College,14961
Klamath Community College,9518
Knox College,53998
Kutztown University of Pennsylvania,20500
Kuyper College,28290
La Roche University,36000
La Salle University,37150
La Sierra University,43194
Labette Community College,8038
Laboure College,36013
Lac Courte Oreilles Ojibwe College,8818
Lackawanna College,20532
Lafayette College,
LaGrange College,36890
Laguna College of Art and Design,40597
Lake Area Technical College,11318
Lake Erie College,39534
Lake Forest College,63500
Lake Land College,12084
Lake Michigan College,11727
Lake Region State College,9900
Lake Superior College,14153
Lake Superior State University,16150
Lake Tahoe Community College,7800
Lake Washington Institute of Technology,8926
Lake-Sumter State College,9094
Lakeland Community College,9356
Lakeland University,36136
Lakes Region Community College,13196
Lakeshore Technical College,10270
Lakewood University,12479
Lamar Community College,11893
Lamar Institute of Technology,10198
Lamar State College-Orange,5942
Lamar State College-Port Arthur,8380
Lamar University,14778
Lancaster Bible College,30720
Lancaster County Career and Technology Center,
Lander University,15670
Landmark College,66990
Lane College,14990
Lane Community College,9355
Laney College,9668
Langston University,10089
Lanier Technical College,9191
Lansing Community College,11140
Laramie County Community College,7813
Laredo College,10574
Las Positas College,6568
Las Vegas College,21905
Lasell University,46500
Lassen Community College,6371
Latin American Bible Institute,10590
Laurel Ridge Community College,10439
Laurus College,
Lawrence Memorial Hospital School of Nursing,34322
Lawrence Technological University,43948
Lawrence University,55701
Lawson State Community College,12967
Le Moyne College,39190
Le Moyne-Owen College,15726
Lebanon Valley College,51380
Lee College,10184
Lee University,25610
Leech Lake Tribal College,11230
Lees-McRae College,31090
Leeward Community College,7751
Lehigh Carbon Community College,13630
Lehigh University,59535
Lenoir Community College,9470
Lenoir-Rhyne University,46110
Lesley University,36240
LeTourneau University,37816
Lewis & Clark College,60506
Lewis and Clark Community College,14043
Lewis University,39430
Lewis-Clark State College,11182
Liberty University,30567
Life Pacific University,23800
Life University,21411
LIM College,36104
Limestone University,37436
Lincoln Christian University,21428
Lincoln College,25938
Lincoln Land Community College,11449
Lincoln Memorial University,30180
Lincoln University,17568
Lincoln University,13489
Lindenwood University,24240
Lindsey Wilson College,31961
Linfield University-McMinnville Campus,50982
Linn-Benton Community College,10364
Lionel University,14499
Lipscomb University,41252
Little Big Horn College,10235
Little Priest Tribal College,9874
Living Arts College,21613
Livingstone College,21596
Lock Haven University,18015
Logan University,16800
Lone Star College System,12394
Long Beach City College,6956
Long Island University,46790
Longwood University,18574
Longy School of Music of Bard College,53300
Lorain County Community College,7529
Loras College,38127
Los Angeles Academy of Figurative Art,34694
Los Angeles City College,6638
Los Angeles College of Music,31050
Los Angeles Film School,
Los Angeles Harbor College,6638
Los Angeles Mission College,6638
Los Angeles Pacific University,15240
Los Angeles Pierce College,6638
Los Angeles Southwest College,6638
Los Angeles Trade Technical College,6638
Los Angeles Valley College,6638
Los Medanos College,7180
Louisburg College,22941
Louisiana College,22650
Louisiana Delta Community College,9298
Louisiana State University and Agricultural & Mechanical College,20682
Louisiana State University-Alexandria,12023
Louisiana State University-Eunice,11220
Louisiana State University-Shreveport,13817
Louisiana Tech University,18519
Lourdes University,31057
Lower Columbia College,8397
Loyola Marymount University,58926
Loyola University Chicago,50608
Loyola University Maryland,60060
Loyola University New Orleans,47454
Lubbock Christian University,31216
Luna Community College,5594
Lurleen B Wallace Community College,9437
Luther College,50815
Luther Rice College & Seminary,10904
Luzerne County Community College,14620
Lycoming College,47458
Lynn University,50374
Lyon College,34764
Macalester College,
MacCormac College,16750
Machzikei Hadath Rabbinical College,18100
Macomb Community College,10860
Madera Community College,7684
Madison Area Technical College,10372
Madisonville Community College,8634
Madonna University,29860
Magdalen College,24900
Maharishi International University,21330
Maine College of Art & Design,42040
Maine College of Health Professions,19111
Maine Maritime Academy,18338
Malone University,38000
Manchester Community College,12978
Manchester Community College,12896
Manchester University,40141
Manhattan Area Technical College,11850
Manhattan Christian College,24805
Manhattan College,50820
Manhattan School of Music,56440
Manhattanville College,43480
Manna University,11082
Manor College,23870
Mansfield University of Pennsylvania,16134
Maple Springs Baptist Bible College and Seminary,9860
Maranatha Baptist University,22430
Maria College of Albany,18995
Marian University,40802
Marian University,33030
Marietta College,40954
Marion Military Institute,
Marion Technical College,9025
Marist College,47035
Marquette University,51442
Mars Hill University,37455
Marshall University,15889
Marshalltown Community College,10021
Martin Community College,10565
Martin Luther College,22010
Martin University,16458
Mary Baldwin University,36600
Maryland Institute College of Art,54840
Marymount California University,41492
Marymount Manhattan College,50610
Marymount University,40230
Maryville College,41144
Maryville University of Saint Louis,36906
Marywood University,43454
Massachusetts Bay Community College,8786
Massachusetts College of Art and Design,20400
Massachusetts College of Liberal Arts,16101
Massachusetts Institute of Technology,58920
Massachusetts Maritime Academy,
Massasoit Community College,13089
Mayland Community College,8789
Mayo Clinic College of Medicine and Science,9308
Maysville Community and Technical College,8634
Mayville State University,11722
McDaniel College,49806
McDowell Technical Community College,6794
McHenry County College,16767
McKendree University,37940
McLennan Community College,10947
McMurry University,33800
McNeese State University,14870
McPherson College,41704
MCPHS University,43416
Medaille College,35568
Mendocino College,8030
Menlo College,50943
Merced College,6580
Mercer County Community College,11748
Mercer University,42724
Mercy College,26060
Mercy College of Health Sciences,27614
Mercy College of Ohio,23582
Mercyhurst University,45941
Meredith College,43914
Meridian Community College,9782
Merrimack College,49366
Merritt College,9680
Mesa Community College,14010
Mesabi Range College,11288
Mesalands Community College,10272
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,
Mesivta Torah Vodaath Rabbinical Seminary,19460
Mesivtha Tifereth Jerusalem of America,13150
Messenger College,14855
Messiah University,42700
Methodist College,23498
Methodist University,41760
Metropolitan College of New York,25106
Metropolitan Community College Area,6945
Metropolitan Community College-Kansas City,15464
Metropolitan State University,22083
Metropolitan State University of Denver,17391
Miami Dade College,10120
Miami International University of Art & Design-Art Institute Dallas,32388
Miami Regional University,
Miami University-Hamilton,11929
Miami University-Middletown,11929
Miami University-Oxford,21896
Michigan State University,19058
Michigan Technological University,20555
Mid Michigan College,12810
Mid-America Christian University,22070
Mid-America College of Funeral Service,18960
Mid-Atlantic Christian University,24040
Mid-Plains Community College,7350
Mid-South Christian College,17092
Mid-State Technical College,10203
MidAmerica Nazarene University,45146
Middle Georgia State University,12802
Middle Tennessee State University,14978
Middlebury College,
Middlesex College,11852
Middlesex Community College,8948
Middlesex Community College,10948
Midland College,8598
Midland University,42418
Midlands Technical College,12496
Midway University,33050
Midwestern Baptist Theological Seminary,17658
Midwestern State University,13780
Midwives College of Utah,15038
Miles College,15956
Miles Community College,8590
Millennia Atlantic University,19656
Miller-Motte College-Wilmington,
Millersville University of Pennsylvania,16356
Milligan University,41008
Millikin University,42692
Mills College,36739
Millsaps College,46107
Milwaukee Area Technical College,11535
Milwaukee Institute of Art & Design,42080
Milwaukee School of Engineering,48986
Mineral Area College,13982
Minneapolis College of Art and Design,47322
Minneapolis Community and Technical College,12531
Minnesota State College Southeast,15291
Minnesota State Community and Technical College,10622
Minnesota State University Moorhead,14054
Minnesota State University-Mankato,12548
Minnesota West Community and Technical College,13986
Minot State University,11638
MiraCosta College,7824
Mirrer Yeshiva Cent Institute,18795
Misericordia University,39190
Missio Theological Seminary,8450
Mission College,8449
Mississippi College,26509
Mississippi Delta Community College,6340
Mississippi Gulf Coast Community College,10025
Mississippi State University,16056
Mississippi University for Women,13771
Mississippi Valley State University,14883
Missouri Baptist University,35846
Missouri Southern State University,12215
Missouri State University-Springfield,13732
Missouri State University-West Plains,10958
Missouri University of Science and Technology,13923
Missouri Valley College,28940
Missouri Western State University,12545
Mitchell College,39025
Mitchell Community College,10063
Mitchell Technical College,10674
Moberly Area Community College,13374
Modesto Junior College,7152
Mohave Community College,6616
Mohawk Valley Community College,10631
Molloy College,43335
Monmouth College,44990
Monmouth University,47038
Monroe College,22086
Monroe Community College,9562
Monroe County Community College,9641
Montana State University,12886
Montana State University Billings,12302
Montana State University-Northern,10555
Montana Technological University,11898
Montcalm Community College,11481
Montclair State University,16708
Montefiore School of Nursing,18330
Monterey Peninsula College,6848
Montgomery College,16406
Montgomery Community College,11439
Montgomery County Community College,16005
Montreat College,33122
Montserrat College of Art,42250
Moody Bible Institute,18535
Moore College of Art and Design,51150
Moorpark College,6641
Moraine Park Technical College,10351
Moraine Valley Community College,13464
Moravian University,55030
Morehead State University,13886
Morehouse College,35428
Moreno Valley College,6822
Morgan Community College,11754
Morgan State University,13573
Morningside University,39420
Morris College,22250
Morrison Institute of Technology,22722
Morton College,16676
Motlow State Community College,17002
Mott Community College,9354
Mount Aloysius College,30390
Mount Angel Seminary,29356
Mount Carmel College of Nursing,19849
Mount Holyoke College,60918
Mount Marty University,34942
Mount Mary University,40592
Mount Mercy University,43884
Mount Saint Joseph University,35950
Mount Saint Mary College,39632
Mount Saint Mary's University,54012
Mount St. Mary's University,49950
Mount Vernon Nazarene University,38964
Mount Wachusett Community College,11368
Mountain Empire Community College,9435
Mountwest Community and Technical College,9687
Mt Hood Community College,9228
Mt San Antonio College,6320
Mt San Jacinto Community College District,8025
Muhlenberg College,59300
Multnomah University,36490
Murray State College,14355
Murray State University,15502
Musicians Institute,30807
Muskegon Community College,14230
Muskingum University,38683
Napa Valley College,6550
Naropa University,40682
Nash Community College,8634
Nashua Community College,12830
Nashville State Community College,8337
Nassau Community College,11680
National American University-Ellsworth AFB Extension,7629
National American University-Kings Bay,7629
National American University-Rapid City,16614
National Louis University,18825
National Paralegal College,12008
National Park College,8846
National University,18720
Naugatuck Valley Community College,11116
Navajo Technical University,8480
Navarro College,13514
Nazarene Bible College,14685
Nazareth College,44015
Nebraska College of Technical Agriculture,10195
Nebraska Indian Community College,12989
Nebraska Methodist College of Nursing & Allied Health,23709
Nebraska Wesleyan University,42834
Neosho County Community College,10378
Ner Israel Rabbinical College,17450
Neumann University,41630
Neumont College of Computer Science,30611
Nevada State College,13821
New College of Florida,11386
New England College,44392
New England Institute of Technology,39029
New Hope Christian College-Eugene,20700
New Jersey City University,22554
New Jersey Institute of Technology,27316
New Mexico Highlands University,11988
New Mexico Institute of Mining and Technology,12675
New Mexico Junior College,5626
New Mexico Military Institute,
New Mexico State University-Alamogordo,7908
New Mexico State University-Dona Ana,7644
New Mexico State University-Grants,7764
New Mexico State University-Main Campus,12785
New River Community and Technical College,8790
New River Community College,12717
New York College of Health Professions,18205
New York Film Academy,39743
New York Institute of Technology,45636
New York School of Interior Design,33400
New York Seminary,17700
New York University,60064
Newberry College,32132
Newman University,40806
Newschool of Architecture and Design,43431
NHTI-Concord's Community College,15860
Niagara County Community College,8980
Niagara University,40930
Nicholls State University,14508
Nichols College,41400
Nicolet Area Technical College,9498
Nightingale College,
Norco College,6822
Norfolk State University,15866
Normandale Community College,13795
North American University,15592
North Arkansas College,11707
North Carolina A & T State University,10193
North Carolina Central University,14749
North Carolina State University at Raleigh,18012
North Carolina Wesleyan College,36171
North Central College,48086
North Central Kansas Technical College,14877
North Central Michigan College,10408
North Central Missouri College,13721
North Central State College,7501
North Central Texas College,9930
North Central University,36000
North Country Community College,11062
North Dakota State College of Science,10052
North Dakota State University-Main Campus,16179
North Florida College,7354
North Georgia Technical College,9652
North Greenville University,29650
North Hennepin Community College,11942
North Idaho College,8926
North Iowa Area Community College,10840
North Park University,37250
North Seattle College,9206
North Shore Community College,9252
North-West College-San Diego,
Northampton County Area Community College,18909
Northcentral Technical College,9423
Northeast Alabama Community College,9660
Northeast Community College,7310
Northeast Iowa Community College,11238
Northeast Lakeview College,12216
Northeast Mississippi Community College,10502
Northeast State Community College,10125
Northeast Texas Community College,12649
Northeast Wisconsin Technical College,11230
Northeastern Illinois University,20773
Northeastern Junior College,13190
Northeastern Oklahoma A&M College,10533
Northeastern State University,12069
Northeastern Technical College,10458
Northeastern University,60392
Northern Arizona University,17516
Northern Essex Community College,10794
Northern Illinois University,17218
Northern Kentucky University,13692
Northern Maine Community College,10842
Northern Marianas College,8238
Northern Michigan University,17358
Northern New Mexico College,9292
Northern Oklahoma College,11360
Northern State University,14345
Northern Vermont University,15554
Northern Virginia Community College,15001
Northern Wyoming Community College District,8486
Northland College,43344
Northland Community and Technical College,13750
Northland Pioneer College,9328
Northpoint Bible College,19970
Northshore Technical Community College,10693
NorthWest Arkansas Community College,8486
Northwest College,9390
Northwest College of Art & Design,21846
Northwest Florida State College,9007
Northwest Indian College,8553
Northwest Iowa Community College,12832
Northwest Kansas Technical College,
Northwest Louisiana Technical Community College,11899
Northwest Mississippi Community College,8680
Northwest Missouri State University,11827
Northwest Nazarene University,39262
Northwest School of Wooden Boat Building,21150
Northwest State Community College,13798
Northwest Technical College,10980
Northwest University,37620
Northwest University-Center for Online and Extended Education,17235
Northwest Vista College,12216
Northwest-Shoals Community College,9491
Northwestern College,37650
Northwestern College,27231
Northwestern Connecticut Community College,12140
Northwestern Health Sciences University,23202
Northwestern Michigan College,12604
Northwestern Oklahoma State University,14080
Northwestern State University of Louisiana,15162
Northwestern University,65445
Northwood Technical College,10602
Northwood University,36008
Norwalk Community College,9643
Norwich University,48220
Nossi College of Art,24250
Notre Dame College,35840
Notre Dame of Maryland University,46945
Nova Southeastern University,43792
NUC University,10930
Nueta Hidatsa Sahnish College,8870
Nunez Community College,11040
Nyack College,33715
Oak Hills Christian College,23116
Oak Valley College,19990
Oakland City University,31445
Oakland Community College,9590
Oakland University,19978
Oakton Community College,15595
Oakwood University,29190
Oberlin College,63248
Occidental College,
Ocean County College,11588
Oconee Fall Line Technical College,9190
Odessa College,6946
Ogeechee Technical College,9232
Oglala Lakota College,8334
Oglethorpe University,47954
Ohel Margulia Seminary,14100
Ohio Christian University,26156
Ohio Dominican University,38544
Ohio Institute of Allied Health,27564
Ohio Northern University,43912
Ohio State University Agricultural Technical Institute,16246
Ohio State University-Lima Campus,16190
Ohio State University-Main Campus,17806
Ohio State University-Mansfield Campus,16190
Ohio State University-Marion Campus,16190
Ohio State University-Newark Campus,16190
Ohio University-Chillicothe Campus,11746
Ohio University-Eastern Campus,11746
Ohio University-Lancaster Campus,11746
Ohio University-Main Campus,18902
Ohio University-Southern Campus,11746
Ohio University-Zanesville Campus,11746
Ohio Wesleyan University,51732
Ohlone College,7692
Ohr Hameir Theological Seminary,
Oklahoma Baptist University,37910
Oklahoma Christian University,30745
Oklahoma City Community College,9359
Oklahoma City University,36994
Oklahoma Panhandle State University,8765
Oklahoma State University Institute of Technology,11362
Oklahoma State University-Main Campus,15124
Oklahoma State University-Oklahoma City,10677
Oklahoma Technical College,
Oklahoma Wesleyan University,34338
Old Dominion University,15100
Olivet College,35070
Olivet Nazarene University,41590
Olney Central College,16376
Olympic College,9090
Onondaga Community College,8684
Oral Roberts University,38178
Orange Coast College,6116
Orange County Community College,10914
Orangeburg Calhoun Technical College,13414
Oregon Coast Community College,11430
Oregon Institute of Technology,16415
Oregon State University,15542
Oregon State University-Cascades Campus,14391
Orion Technical College,18075
Otero Junior College,15000
Otis College of Art and Design,55058
Ottawa University-Ottawa,41620
Ottawa University-Surprise,37600
Otterbein University,38460
Ouachita Baptist University,34790
Our Lady of the Lake University,33226
Owens Community College,11326
Owensboro Community and Technical College,8634
Oxnard College,6641
Ozark Christian College,18470
Ozarka College,8404
Ozarks Technical Community College,9004
Pace University,52846
Pacific Bible College,6077
Pacific College,
Pacific College of Health and Science,25299
Pacific College of Health and Science,14929
Pacific College of Health Science-Chicago,18880
Pacific Islands University,11258
Pacific Lutheran University,52441
Pacific Northwest College of Art,46818
Pacific Oaks College,21224
Pacific Rim Christian University,17792
Pacific States University,11767
Pacific Union College,37503
Pacific University,52920
Paier College,28260
Paine College,20120
Palau Community College,9130
Palm Beach Atlantic University,43494
Palm Beach State College,12905
Palo Alto College,12216
Palo Verde College,12493
Palomar College,6744
Pamlico Community College,7567
Panola College,12478
Paradise Valley Community College,14010
Paris Junior College,10463
Park University,17265
Parker University,24703
Parkland College,16080
Pasadena City College,6455
Pasco-Hernando State College,9006
Passaic County Community College,10976
Patrick Henry Community College,10459
Paul D Camp Community College,8536
Paul Quinn College,15788
Paul Smiths College of Arts and Science,34615
PCI College,
Pearl River Community College,8560
Peirce College,18260
Pellissippi State Community College,10156
Peninsula College,9170
Pennsylvania Academy of the Fine Arts,48552
Pennsylvania College of Art and Design,33600
Pennsylvania College of Health Sciences,36306
Pennsylvania College of Technology,22627
Pennsylvania Highlands Community College,14120
Pennsylvania Institute of Technology,15705
Pensacola State College,6337
Pepperdine University,63452
Perry Technical Institute,
Peru State College,10380
Pfeiffer University,35980
Philander Smith College,19236
Phillips Community College of the University of Arkansas,9860
Phoenix College,14010
Piedmont Community College,11571
Piedmont Technical College,15297
Piedmont University,32774
Piedmont Virginia Community College,11090
Pierce College District,8926
Pierpont Community and Technical College,8586
Pikes Peak Community College,11884
Pillar College,28656
Pima Community College,7254
Pima Medical Institute-Tucson,
Pine Manor College,36400
Pine Technical & Community College,13834
Pitt Community College,7678
Pittsburg State University,13520
Pittsburgh Institute of Aeronautics,26838
Pittsburgh Institute of Mortuary Science Inc,
Pittsburgh Technical College,24763
Pitzer College,60928
Platt College-Anaheim,19489
Platt College-Aurora,28396
Platt College-Los Angeles,19489
Platt College-Ontario,19489
Platt College-Riverside,19489
Platt College-San Diego,30859
Plaza College,18450
Plymouth State University,19854
Point Loma Nazarene University,44902
Point Park University,38910
Point University,24850
Polk State College,12221
Polytechnic University of Puerto Rico-Miami,18441
Polytechnic University of Puerto Rico-Orlando,20875
Pomeroy College of Nursing at Crouse Hospital,24351
Pomona College,59186
Ponce Health Sciences University-East,21221
Pontifical Catholic University of Puerto Rico-Arecibo,14550
Pontifical Catholic University of Puerto Rico-Mayaguez,13722
Pontifical Catholic University of Puerto Rico-Ponce,15025
Pontifical College Josephinum,
Porterville College,6809
Portland Community College,9964
Portland State University,14796
Post University,22060
Potomac State College of West Virginia University,8308
Prairie State College,18046
Prairie View A & M University,16279
Pratt Community College,10006
Pratt Institute-Main,60222
Presbyterian College,45350
Presbyterian Theological Seminary in America,15189
Prescott College,37642
Presentation College,27216
Prince George's Community College,11626
Princeton University,
Providence Christian College,38692
Providence College,64548
Provo College,23832
Provo College-Idaho Falls Campus,23832
Pueblo Community College,12474
Purdue University Fort Wayne,13599
Purdue University Global,11925
Purdue University Northwest,14336
Purdue University-Main Campus,14402
Queens University of Charlotte,43436
Quincy College,13136
Quincy University,34310
Quinebaug Valley Community College,12009
Quinnipiac University,57100
Quinsigamond Community College,9684
Rabbi Jacob Joseph School,18000
Rabbinical Academy Mesivta Rabbi Chaim Berlin,18250
Rabbinical College Beth Shraga,20550
Rabbinical College Bobover Yeshiva Bnei Zion,13450
Rabbinical College of America,17800
Rabbinical College of Long Island,
Rabbinical College of Ohr Shimon Yisroel,19700
Rabbinical College Ohr Yisroel,11850
Rabbinical College Telshe,17300
Rabbinical Seminary Mkor Chaim,14250
Rabbinical Seminary of America,15200
Radford University,19302
Rainy River Community College,10288
Ramapo College of New Jersey,22406
Randall University,21596
Randolph College,
Randolph Community College,11814
Randolph-Macon College,47480
Ranger College,10980
Ranken Technical College,21284
Rappahannock Community College,11120
Raritan Valley Community College,11837
Rasmussen University-Florida,16654
Rasmussen University-Illinois,16670
Rasmussen University-Kansas,16501
Rasmussen University-Minnesota,17215
Rasmussen University-North Dakota,15885
Rasmussen University-Wisconsin,17110
Reading Area Community College,16970
Red Lake Nation College,9608
Red Rocks Community College,12362
Redlands Community College,11260
Reed College,64930
Reedley College,7688
Reformed University,11210
Regent University,23724
Regis College,50574
Regis University,44066
Reid State Technical College,7515
Reinhardt University,33880
Remington College-Baton Rouge Campus,24756
Remington College-Cleveland Campus,22318
Remington College-Dallas Campus,23663
Remington College-Fort Worth Campus,22618
Remington College-Houston Southeast Campus,24140
Remington College-Knoxville,19840
Remington College-Lafayette Campus,22846
Remington College-Memphis Campus,21967
Remington College-Mobile Campus,22472
Remington College-Nashville Campus,22988
Remington College-North Houston Campus,23500
Remington College-Shreveport Campus,22499
Rend Lake College,13176
Rensselaer Polytechnic Institute,
Renton Technical College,9886
Rhode Island College,14102
Rhode Island School of Design,63490
Rhodes College,54433
Rice University,56945
Richard Bland College,12360
Richland Community College,12360
Richmond Community College,10136
Rider University,39850
Ridgewater College,11615
Ringling College of Art and Design,59095
Rio Hondo College,5789
Rio Salado College,6990
Ripon College,50450
River Parishes Community College,10539
River Valley Community College,16892
Riverland Community College,12032
Riverside City College,6822
Riverside College of Health Careers,22390
Rivier University,42264
Roane State Community College,8084
